Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,219,7250,0,119248,13857.08,1.826%,1.82730,49.62,0.44,27805.7
TOTAL,219,7250,0,119248,13857.08,1.826%,1.82730,49.62,0.44,27805.7
